Date,Open,High,Low,Close,Volume
2013-11-18,123.7,123.96,122.55,122.9,6241279
2013-11-19,122.97,123.4,122.83,122.95,3666451
2013-11-20,121.67,122.44,119.76,120.12,14281010
2013-11-21,119.81,120.35,119.31,119.94,7562937
2013-11-22,120.24,120.4,119.82,119.92,6776461
2013-11-25,119.18,121.0,119.13,120.46,7271846
2013-11-26,119.84,120.4,119.59,119.82,9053320
2013-11-27,120.49,120.69,119.25,119.46,6144568
2013-11-29,120.67,121.05,120.62,120.7,2364671
2013-12-02,119.2,119.29,117.5,117.58,10297128
2013-12-03,117.58,118.31,117.23,117.96,7004847
2013-12-04,118.33,120.76,118.16,119.96,9110691
2013-12-05,118.2,119.24,117.41,118.3,10254676
2013-12-06,118.86,119.26,118.01,118.55,7910040
2013-12-09,118.99,119.92,118.95,119.72,5510392
2013-12-10,122.18,122.32,121.47,121.82,9164469
2013-12-11,121.49,121.81,120.76,120.86,9934908
2013-12-12,118.59,118.82,118.03,118.29,8810811
2013-12-13,118.9,119.49,118.76,119.38,6484891
2013-12-16,119.25,120.77,118.97,119.69,8193324
2013-12-17,118.97,119.9,118.37,118.65,8589144
2013-12-18,119.0,120.05,117.29,117.61,16265046
2013-12-19,115.95,116.06,114.5,114.82,15984757
2013-12-20,115.38,116.47,115.06,115.94,14697716
2013-12-23,115.61,116.12,115.43,115.57,6244146
2013-12-24,115.79,116.29,115.71,116.1,3353940
2013-12-26,117.23,117.23,116.65,116.74,3868528
2013-12-27,117.31,117.38,116.85,117.12,4207991
2013-12-30,116.37,116.4,115.18,115.39,6713023
2013-12-31,114.61,117.13,114.46,116.12,12838233
2014-01-02,117.93,118.73,117.75,118.0,7570508
2014-01-03,118.64,119.62,118.59,119.29,5879119
2014-01-06,119.76,120.39,117.11,119.5,10107731
2014-01-07,118.46,118.92,118.13,118.82,6435823
2014-01-08,117.99,118.52,117.5,118.12,7432317
2014-01-09,118.11,118.69,117.99,118.46,3972991
2014-01-10,119.72,120.43,119.58,120.26,7994809
2014-01-13,120.27,121.04,120.2,121.02,5877632
2014-01-14,120.54,121.06,119.72,119.89,7506301
2014-01-15,119.19,119.81,119.11,119.66,5476409
2014-01-16,119.84,119.96,119.57,119.79,3950105
2014-01-17,120.35,121.02,120.2,120.93,7926430
2014-01-21,119.23,119.97,119.23,119.7,6765085
2014-01-22,119.65,119.77,119.17,119.19,4898314
2014-01-23,120.97,122.02,120.97,121.79,11038741
2014-01-24,122.06,122.5,121.55,122.29,8540453
2014-01-27,121.65,122.06,120.72,120.96,7533917
2014-01-28,121.32,121.4,120.41,120.95,5156327
2014-01-29,122.19,122.51,121.13,122.47,12262531
2014-01-30,119.67,120.22,119.6,119.77,8752038
2014-01-31,120.65,120.86,119.46,120.09,7984890
2014-02-03,120.47,122.11,120.32,121.32,9270176
2014-02-04,120.41,121.09,120.39,120.99,7029192
2014-02-05,121.76,121.88,120.73,121.29,6801879
2014-02-06,121.38,121.51,120.78,121.24,4748431
2014-02-07,121.24,122.24,121.23,122.17,6683018
2014-02-10,122.8,123.16,122.72,122.92,7937659
2014-02-11,123.38,124.75,123.36,124.36,11558005
2014-02-12,124.4,124.98,124.13,124.43,6654131
2014-02-13,124.7,125.6,124.66,125.49,9263314
2014-02-14,126.99,127.38,126.75,127.15,11180946
2014-02-18,127.42,127.75,127.09,127.4,7690800
2014-02-19,127.26,127.45,126.16,126.27,9390584
2014-02-20,126.75,127.75,126.4,127.6,10578232
2014-02-21,127.57,128.07,127.15,127.58,7306796
2014-02-24,128.51,129.07,128.34,128.99,12116210
2014-02-25,128.62,129.53,128.57,129.21,5787114
2014-02-26,128.49,128.76,127.42,128.11,7057157
2014-02-27,128.4,128.8,127.89,128.2,5067646
2014-02-28,128.27,128.35,127.15,127.62,10588738
2014-03-03,130.0,130.59,129.81,130.29,11785006
2014-03-04,128.54,129.24,128.32,128.68,6350420
2014-03-05,128.71,129.34,128.58,128.89,4880728
2014-03-06,129.71,130.47,129.47,130.17,5417902
2014-03-07,128.25,129.23,128.21,129.09,7577498
2014-03-10,128.88,129.61,128.78,129.13,4170499
2014-03-11,130.01,130.15,128.93,129.86,7295113
2014-03-12,131.56,132.12,131.39,131.76,11107630
2014-03-13,131.69,132.54,131.56,132.21,8007721
2014-03-14,133.68,133.69,132.35,133.1,11949426
2014-03-17,132.73,133.22,131.22,131.64,14630110
2014-03-18,130.39,131.27,130.33,130.62,6424385
2014-03-19,129.55,129.68,127.94,128.09,12932862
2014-03-20,127.78,128.41,127.58,127.86,7690848
2014-03-21,129.04,129.09,128.41,128.47,7246489
2014-03-24,126.87,127.14,126.03,126.18,13076493
2014-03-25,126.44,126.82,126.24,126.41,6567962
2014-03-26,126.27,126.38,125.13,125.41,8581634
2014-03-27,125.06,125.29,124.21,124.59,7315310
2014-03-28,124.23,124.96,123.88,124.56,7253673
2014-03-31,124.52,124.79,123.57,123.61,12379151
